Category URL,Brand URL
https://www.knowde.com/b/markets-adhesives-sealants/brands,https://www.knowde.com/stores/chemence/brands/krylex
https://www.knowde.com/b/markets-adhesives-sealants/brands,https://www.knowde.com/stores/scott-bader/brands/crestafix
https://www.knowde.com/b/markets-adhesives-sealants/brands,https://www.knowde.com/stores/westech-aerosol-corp/brands/dmeasy
https://www.knowde.com/b/markets-adhesives-sealants/brands,https://www.knowde.com/stores/cotronics/brands/durabond-e271cad8-17a8-43d6-b6ba-7585f67dea9f
https://www.knowde.com/b/markets-adhesives-sealants/brands,https://www.knowde.com/stores/scigrip-adhesives/brands/scigrip
https://www.knowde.com/b/markets-adhesives-sealants/brands,https://www.knowde.com/stores/promax-industries/brands/protex
https://www.knowde.com/b/markets-adhesives-sealants/brands,https://www.knowde.com/stores/future-fuel-corp/brands/futuresol
https://www.knowde.com/b/markets-adhesives-sealants/brands,https://www.knowde.com/stores/a-c-catalysts/brands/technirez
https://www.knowde.com/b/markets-adhesives-sealants/brands,https://www.knowde.com/stores/mitsubishi-chemical/brands/diacron
https://www.knowde.com/b/markets-adhesives-sealants/brands,https://www.knowde.com/stores/20-microns/brands/glowtox
https://www.knowde.com/b/markets-adhesives-sealants/brands,https://www.knowde.com/stores/synthecoat/brands/synthan
https://www.knowde.com/b/markets-adhesives-sealants/brands,https://www.knowde.com/stores/pearl-engineering/brands/peplpet
https://www.knowde.com/b/markets-adhesives-sealants/brands,https://www.knowde.com/stores/cotronics/brands/duralco
https://www.knowde.com/b/markets-adhesives-sealants/brands,https://www.knowde.com/stores/pioneer-solutions-americas/brands/solid-acrylic-resin-pchem
https://www.knowde.com/b/markets-adhesives-sealants/brands,https://www.knowde.com/stores/kj-chemicals/brands/kjcmpa
https://www.knowde.com/b/markets-adhesives-sealants/brands,https://www.knowde.com/stores/dar-tech-inc/brands/liopur-16b4c9f2-1674-4ab0-a8f3-8b5e405edd5e
https://www.knowde.com/b/markets-adhesives-sealants/brands,https://www.knowde.com/stores/ceno-technolgies/brands/silver-coated-cenospheres
https://www.knowde.com/b/markets-adhesives-sealants/brands,https://www.knowde.com/stores/charles-b-chrystal/brands/charles-b-chrystal-talc
https://www.knowde.com/b/markets-adhesives-sealants/brands,https://www.knowde.com/stores/ichemco/brands/ichemco-additive
